
@DATA
14.35,4.5,1
16.4,3.75,1
16.75,5.1,1
15.65,5.8,1
15.25,4.45,1
14.85,4.45,1
15.85,3.95,1
15.95,5.1,1
16.5,5.05,1
17.9,4.9,1
18.2,4.45,1
17.3,4.3,1
16.7,4.65,1
17.7,3.8,1
18.4,3.75,1
19.1,4.65,1
20.15,4.9,1
21.2,4.45,1
19.6,4,1
19.45,4,1
21.7,3.9,1
22.1,3.9,1
22.95,4.45,1
22.05,4.9,1
21.3,4.85,1
21.2,4.1,1
20.5,3.9,1
20.25,4.85,1
21.05,4.55,1
23.55,4.9,1
24.15,4.7,1
22.45,5.45,1
20.9,6.05,1
19.65,6,1
17.8,5.8,1
17.1,5.65,1
19.95,5.25,1
20.6,5.15,1
18.45,5.6,1
17.55,5.15,1
12.85,4.95,1
12.6,5,1
15.3,5.55,1
14.45,5.2,1
13.15,4.7,1
13.05,3.3,1
14.5,3.15,1
15.65,3.3,1
16.7,3.3,1
18.65,3.35,1
19.7,3.35,1
21.1,3.25,1
22.35,3.45,1
23.05,3.85,1
23.35,4.25,1
19.3,3.15,1
19.9,3.05,1
22.35,3.05,1
23.05,3.4,1
23.85,4.8,1
23.45,5.55,1
22.2,6,1
21,6.3,1
19.2,6.55,1
17.65,6.55,1
15.95,6.3,1
13.2,6.1,1
11.95,5.05,1
12.9,3.8,1
14.5,3.75,1
12.6,3.2,1
11.5,3.05,1
11.6,4.15,1
13.05,3.45,1
13.75,2.65,1
17.15,2.8,1
18.25,2.85,1
19.95,2.6,1
21.4,2.35,1
23.75,3.1,1
24.15,4.05,1
24.5,5.4,1
22.3,6.55,1
20.05,6.75,1
18.05,7.35,1
15.75,7.3,1
14.85,6.7,1
14.25,6.3,1
51.85,27.55,2
56,27.45,2
56.85,28.45,2
54.35,29.25,2
53.9,28,2
54.9,28.4,2
55.25,28.45,2
62.65,1.75,2
62.65,3.45,2
63.4,4.65,2
63.55,3.4,2
56.1,29.95,2
58.35,30.3,2
59.45,29.7,2
57.75,26.3,2
